Speed Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max)
falcon-512 (7 executions),opt-ct,209220179,116624528,355851711,40087743,40038118,40119944,497850,485992,500398
falcon-512 (7 executions),opt-leaktime,105013637,95092729,132290633,36614303,36436888,36885345,495760,485725,500507
falcon-512-tree (10 executions),m4-ct,147562852,122768510,205077718,18223219,18109213,18331322,496174,485784,501669
falcon-512-tree (10 executions),opt-ct,185440687,142951886,243555818,18239218,18097193,18357344,492183,485727,501891
falcon-512-tree (10 executions),opt-leaktime,216719519,111764241,361463581,19916516,19722789,20148110,493140,484381,502501
Memory Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [bytes],Encapsulation [bytes],Decapsulation [bytes],,,,,,
bikel1,m4f,44068,32116,91368,,,,,,
bikel1,opt,35928,25876,78556,,,,,,
bikel3,m4f,85828,62852,161804,,,,,,
bikel3,opt,69632,50564,155376,,,,,,
hqc-rmrs-128,clean,48936,64412,71148,,,,,,
hqc-rmrs-192,clean,96828,128348,141900,,,,,,
hqc-rmrs-256,clean,154228,204820,226540,,,,,,
kyber1024,clean,15076,18748,20324,,,,,,
kyber1024,m4fspeed,6376,7472,7488,,,,,,
kyber1024,m4fstack,3272,3344,3368,,,,,,
kyber1024-90s,clean,15340,19020,20596,,,,,,
kyber1024-90s,m4fspeed,7124,8220,8236,,,,,,
kyber1024-90s,m4fstack,4028,4100,4124,,,,,,
kyber512,clean,6108,8772,9548,,,,,,
kyber512,m4fspeed,4304,5408,5416,,,,,,
kyber512,m4fstack,2232,2320,2336,,,,,,
kyber512-90s,clean,6548,9212,9988,,,,,,
kyber512-90s,m4fspeed,5052,6156,6164,,,,,,
kyber512-90s,m4fstack,2988,3076,3092,,,,,,
kyber768,clean,10204,13372,14468,,,,,,
kyber768,m4fspeed,5328,6440,6456,,,,,,
kyber768,m4fstack,2768,2840,2856,,,,,,
kyber768-90s,clean,10760,13820,14916,,,,,,
kyber768-90s,m4fspeed,6084,7196,7212,,,,,,
kyber768-90s,m4fstack,3516,3588,3604,,,,,,
Signature Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [bytes],Sign [bytes],Verify [bytes],,,,,,
dilithium2,clean,38392,52016,36304,,,,,,
dilithium2,m4f,38384,49464,36296,,,,,,
dilithium2aes,clean,39748,53372,37660,,,,,,
dilithium3,clean,60920,79664,57700,,,,,,
dilithium3,m4f,60912,68912,57800,,,,,,
dilithium3aes,clean,62276,81020,59164,,,,,,
dilithium5,clean,97784,122672,92880,,,,,,
dilithium5,m4f,97776,116016,92872,,,,,,
falcon-1024,clean,36304,82420,8796,,,,,,
falcon-1024,m4-ct,1472,2560,388,,,,,,
falcon-1024,opt-ct,1488,2560,388,,,,,,
falcon-1024,opt-leaktime,1480,2656,388,,,,,,
falcon-1024-tree,opt-ct,1416,2920,388,,,,,,
falcon-1024-tree,opt-leaktime,1400,2936,388,,,,,,
falcon-512,clean,18360,42396,4700,,,,,,
falcon-512,m4-ct,1488,2472,388,,,,,,
falcon-512,opt-ct,1488,2472,388,,,,,,
falcon-512,opt-leaktime,1440,2672,388,,,,,,
falcon-512-tree,m4-ct,1480,2768,388,,,,,,
falcon-512-tree,opt-ct,1480,2768,388,,,,,,
falcon-512-tree,opt-leaktime,1488,2896,388,,,,,,
sphincs-haraka-128f-robust,clean,3620,3712,4172,,,,,,
sphincs-haraka-128s-simple,clean,3856,3896,3468,,,,,,
sphincs-haraka-192f-robust,clean,5064,5104,5396,,,,,,
sphincs-haraka-256f-robust,clean,7028,7104,7004,,,,,,
sphincs-haraka-256f-simple,clean,7020,7016,6996,,,,,,
sphincs-haraka-256s-simple,clean,7400,7240,6588,,,,,,
sphincs-sha256-128f-simple,clean,2104,2168,2656,,,,,,
sphincs-sha256-192s-robust,clean,4103,3992,3376,,,,,,
sphincs-sha256-256f-robust,clean,5792,5760,5656,,,,,,
sphincs-sha256-256f-simple,clean,5512,5480,5488,,,,,,
sphincs-shake256-128f-robust,clean,2012,2176,2556,,,,,,
sphincs-shake256-128s-robust,clean,2336,2288,1860,,,,,,
sphincs-shake256-192f-simple,clean,3436,3576,3788,,,,,,
sphincs-shake256-192s-robust,clean,3748,3736,3124,,,,,,
sphincs-shake256-192s-simple,clean,3856,3736,3232,,,,,,
sphincs-shake256-256s-robust,clean,5816,5648,5104,,,,,,
sphincs-shake256-256s-simple,clean,5816,5648,4996,,,,,,
Hashing Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [%],Encapsulation [%],Decapsulation [%],,,,,,
kyber1024,clean,56.5,56.1,45.0,,,,,,
kyber1024,m4fspeed,79.5,82.4,76.1,,,,,,
kyber1024,m4fstack,79.3,82.0,75.6,,,,,,
kyber1024-90s,clean,75.2,72.3,66.0,,,,,,
kyber1024-90s,m4fspeed,70.9,73.2,67.8,,,,,,
kyber1024-90s,m4fstack,70.5,72.6,67.2,,,,,,
kyber512,clean,56.8,54.1,39.3,,,,,,
kyber512,m4fspeed,79.7,82.5,73.2,,,,,,
kyber512,m4fstack,79.8,82.2,73.0,,,,,,
kyber512-90s,clean,70.4,64.7,54.8,,,,,,
kyber512-90s,m4fspeed,72.4,74.6,66.5,,,,,,
kyber512-90s,m4fstack,72.3,74.2,66.2,,,,,,
kyber768,clean,55.0,54.6,41.8,,,,,,
kyber768,m4fspeed,78.9,82.2,74.5,,,,,,
kyber768,m4fstack,78.8,81.8,74.1,,,,,,
kyber768-90s,clean,73.0,69.2,61.4,,,,,,
kyber768-90s,m4fspeed,70.9,73.5,66.9,,,,,,
kyber768-90s,m4fstack,70.6,72.9,66.3,,,,,,
Signature Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [%],Sign [%],Verify [%],,,,,,
dilithium2,clean,67.0,37.4,59.7,,,,,,
dilithium2,m4f,83.1,64.9,80.4,,,,,,
dilithium2aes,clean,2.7,3.2,5.1,,,,,,
dilithium3,clean,70.4,39.6,63.3,,,,,,
dilithium3,m4f,85.1,63.9,82.6,,,,,,
dilithium3aes,clean,2.2,2.3,3.6,,,,,,
dilithium5,clean,72.4,42.4,67.3,,,,,,
dilithium5,m4f,86.2,70.8,84.7,,,,,,
falcon-1024,clean,9.6,0.4,27.0,,,,,,
falcon-1024,m4-ct,12.9,0.5,35.4,,,,,,
falcon-1024,opt-ct,20.8,0.5,35.5,,,,,,
falcon-1024,opt-leaktime,5.6,0.5,35.5,,,,,,
falcon-512,clean,17.5,0.4,29.4,,,,,,
falcon-512,m4-ct,15.1,0.5,36.7,,,,,,
falcon-512,opt-ct,15.4,0.5,36.5,,,,,,
falcon-512,opt-leaktime,19.6,0.6,36.5,,,,,,
falcon-512-tree,m4-ct,11.0,1.2,37.1,,,,,,
falcon-512-tree,opt-ct,13.9,1.2,36.8,,,,,,
falcon-512-tree,opt-leaktime,14.4,1.1,36.8,,,,,,
Size Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],,,,,
kyber1024,clean,6076,0,0,6076,,,,,
kyber1024,m4fspeed,16452,0,0,16452,,,,,
kyber1024,m4fstack,13708,0,0,13708,,,,,
kyber1024-90s,clean,6460,0,0,6460,,,,,
kyber1024-90s,m4fspeed,16936,0,0,16936,,,,,
kyber1024-90s,m4fstack,13984,0,0,13984,,,,,
kyber512,clean,4888,0,0,4888,,,,,
kyber512,m4fspeed,15336,0,0,15336,,,,,
kyber512,m4fstack,12824,0,0,12824,,,,,
kyber512-90s,clean,5136,0,0,5136,,,,,
kyber512-90s,m4fspeed,15820,0,0,15820,,,,,
kyber512-90s,m4fstack,13088,0,0,13088,,,,,
kyber768,clean,4904,0,0,4904,,,,,
kyber768,m4fspeed,15528,0,0,15528,,,,,
kyber768,m4fstack,12824,0,0,12824,,,,,
kyber768-90s,clean,5168,0,0,5168,,,,,
kyber768-90s,m4fspeed,16020,0,0,16020,,,,,
kyber768-90s,m4fstack,13088,0,0,13088,,,,,
Signature Schemes,,,,,,,,,,
Scheme,Implementation,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],,,,,
dilithium2,clean,7852,0,0,7852,,,,,
dilithium2,m4f,18428,0,0,18428,,,,,
dilithium2aes,clean,14674,0,0,14674,,,,,
dilithium3,clean,7372,0,0,7372,,,,,
dilithium3,m4f,19904,0,0,19904,,,,,
dilithium3aes,clean,14186,0,0,14186,,,,,
dilithium5,clean,7652,0,0,7652,,,,,
dilithium5,m4f,18220,0,0,18220,,,,,
falcon-1024,clean,80785,0,0,80785,,,,,
falcon-1024,m4-ct,81073,0,79872,160945,,,,,
falcon-1024,opt-ct,81073,0,79872,160945,,,,,
falcon-1024,opt-leaktime,74293,0,79872,154165,,,,,
falcon-512,clean,80753,0,0,80753,,,,,
falcon-512,m4-ct,81073,0,39936,121009,,,,,
falcon-512,opt-ct,81073,0,39936,121009,,,,,
falcon-512,opt-leaktime,74293,0,39936,114229,,,,,
falcon-512-tree,m4-ct,80813,0,27648,108461,,,,,
falcon-512-tree,opt-ct,80813,0,27648,108461,,,,,
falcon-512-tree,opt-leaktime,74033,0,27648,101681,,,,,
